"pid","grp","duration","entry","exit","num"
4275,"inactive",146,141,435,7046
4279,"inactive",146,141,435,7046
4291,"inactive",147,142,438,7046
4292,"inactive",147,142,435,7046
4316,"inactive",148,143,439,7046
4325,"inactive",148,143,439,7046
4345,"inactive",149,144,438,7046
4346,"inactive",149,144,442,7046
4353,"inactive",149,144,440,7046
4357,"inactive",149,144,445,7046
4360,"inactive",149,144,441,7046
4369,"inactive",150,145,443,7046
4370,"inactive",150,145,445,7046
4391,"inactive",151,146,449,7046
4405,"inactive",151,146,448,7046
4410,"inactive",151,146,450,7046
4417,"inactive",152,147,447,7046
4420,"inactive",152,147,445,7046
4421,"inactive",152,147,451,7046
4429,"inactive",152,147,446,7046
4468,"inactive",153,148,451,7046
4473,"inactive",153,148,454,7046
4481,"inactive",154,149,449,7046
4486,"inactive",154,149,452,7046
4495,"inactive",154,149,453,7046
4498,"inactive",154,149,459,7046
4499,"inactive",155,150,454,7046
4503,"inactive",155,150,457,7046
4513,"inactive",155,150,455,7046
4516,"inactive",155,150,457,7046
4522,"inactive",155,150,453,7046
4523,"inactive",155,150,462,7046
4548,"inactive",156,151,456,7046
4549,"inactive",156,151,455,7046
4551,"inactive",156,151,457,7046
4553,"inactive",156,151,453,7046
4584,"inactive",157,152,466,7046
4585,"inactive",157,152,458,7046
4590,"inactive",157,152,457,7046
4605,"inactive",158,153,462,7046
4612,"inactive",158,153,464,7046
4615,"inactive",158,153,460,7046
4618,"inactive",158,153,462,7046
4620,"inactive",158,153,460,7046
4623,"inactive",159,154,462,7046
4627,"inactive",159,154,461,7046
4640,"inactive",159,154,464,7046
4645,"inactive",159,154,461,7046
4659,"inactive",160,155,466,7046
4678,"inactive",161,156,467,7046
4682,"inactive",161,156,467,7046
4688,"inactive",161,156,465,7046
4694,"inactive",161,156,470,7046
4713,"inactive",162,157,469,7046
4718,"inactive",162,157,472,7046
4727,"inactive",162,157,471,7046
4755,"inactive",163,158,472,7046
4761,"inactive",164,159,475,7046
4767,"inactive",164,159,471,7046
4768,"inactive",164,159,472,7046
4771,"inactive",164,159,475,7046
4778,"inactive",164,159,471,7046
4801,"inactive",165,160,476,7046
4805,"inactive",165,160,476,7046
4808,"inactive",165,160,479,7046
4840,"inactive",166,161,475,7046
4851,"inactive",167,162,482,7046
4853,"inactive",167,162,477,7046
4858,"inactive",167,162,481,7046
4891,"inactive",168,163,485,7046
4899,"inactive",168,163,484,7046
4900,"inactive",168,163,486,7046
4918,"inactive",169,164,483,7046
4922,"inactive",169,164,487,7046
4933,"inactive",169,164,483,7046
4946,"inactive",170,165,482,7046
4948,"inactive",170,165,486,7046
4950,"inactive",170,165,485,7046
4962,"inactive",170,165,487,7046
4971,"inactive",171,166,491,7046
4976,"inactive",171,166,489,7046
4980,"inactive",171,166,490,7046
4987,"inactive",171,166,489,7046
4988,"inactive",171,166,492,7046
4990,"inactive",171,166,489,7046
5005,"inactive",172,167,493,7046
5010,"inactive",172,167,491,7046
5012,"inactive",172,167,490,7046
5021,"inactive",173,168,490,7046
5026,"inactive",173,168,494,7046
5031,"inactive",173,168,492,7046
5032,"inactive",173,168,492,7046
5056,"inactive",174,169,499,7046
